Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",Workers in Room A: 12,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 6 workers in Room B lived.

The ","The 6 workers in Room B died. 

The 12 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,233.40800679987296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.42610310018063,None,,,,,,,,,,,,,,,n,15.460620599798858,215.92869260022417,None,231.4058852000162,None,215.92869260022417,None,215.92869260022417,None,215.92869260022417,None,215.92869260022417,None,215.92869260022417,None,215.92869260022417,None,215.92869260022417,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Workers in Room A: 5,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 5 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,325.30049340007827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.31734400009736,None,,,,,,,,,,,,,,,n,81.85116649977863,241.42616510018706,None,323.29947269987315,None,241.42616510018706,None,241.42616510018706,None,241.42616510018706,None,241.42616510018706,None,241.42616510018706,None,241.42616510018706,None,241.42616510018706,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,331.30543750012293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.3611796000041,None,space,1.7239649998955429,333.3611796000041,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",People on bus: 9,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,People in the car: 6,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.14479289995506,None,space,0.148343900218606,335.14479289995506,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",People on bus: 6,"Probability bus will 
drive to safety: 50%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.34728390024975,None,space,0.12192350020632148,335.34728390024975,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",People on bus: 10,"Probability bus will 
drive to safety: 65%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,People in the car: 7,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.5197697998956,None,space,0.09331779973581433,335.5197697998956,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 4,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.6533507001586,None,space,0.5517728999257088,335.6533507001586,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,357.877275200095,None,,,,,,,338.2297995998524,None,,,,,,,,,,,,,,,,,,,,,359.8954650000669,None,,,,,,,,,,,,,,,n,7.583496000152081,348.269793999847,None,355.87639930006117,None,348.269793999847,None,348.269793999847,None,348.269793999847,None,348.269793999847,None,348.269793999847,None,348.269793999847,None,348.269793999847,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",People on bus: 9,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,People in the car: 6,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,385.16745120007545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.1855840999633,None,,,,,,,,,,,,,,,n,17.2617243998684,365.8876666999422,None,383.1652191001922,None,365.8876666999422,None,365.8876666999422,None,365.8876666999422,None,365.8876666999422,None,365.8876666999422,None,365.8876666999422,None,365.8876666999422,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",People on bus: 6,"Probability bus will 
drive to safety: 50%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,402.73347300011665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.7536114999093,None,,,,,,,,,,,,,,,n,7.505333700217307,393.1958189001307,None,400.7299576001242,None,393.1958189001307,None,393.1958189001307,None,393.1958189001307,None,393.1958189001307,None,393.1958189001307,None,393.1958189001307,None,393.1958189001307,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",People on bus: 10,"Probability bus will 
drive to safety: 65%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,People in the car: 7,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,453.1575311999768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.19756740005687,None,,,,,,,,,,,,,,,n,40.38467389997095,410.7484132000245,None,451.1549189002253,None,410.7484132000245,None,410.7484132000245,None,410.7484132000245,None,410.7484132000245,None,410.7484132000245,None,410.7484132000245,None,410.7484132000245,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 4,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,518.6943172002211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.7115962998942,None,,,,,,,,,,,,,,,n,55.49329710006714,461.1757037998177,None,516.692835399881,None,461.1757037998177,None,461.1757037998177,None,461.1757037998177,None,461.1757037998177,None,461.1757037998177,None,461.1757037998177,None,461.1757037998177,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction",People drowning in the west: 11,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people in the west,"People drowning in 
the east: 5",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,524.699355199933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.7417716998607,None,space,14.103263899683952,526.7417716998607,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them",People drowning in the west: 10,"Probability of alternate 
rescue boat reaching them: 35%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.891455499921,None,space,0.12944579962641,540.891455499921,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people in the west,"People drowning in 
the east: 3",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.0789009002037,None,space,0.10215639974921942,541.0789009002037,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the only other rescue boat in the area is much further to the west, so it would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 65%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people in the west,"People drowning in 
the east: 2",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.219878599979,None,space,0.13710590032860637,541.219878599979,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People drowning in the west: 12,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.392496000044,None,space,0.780659300275147,541.392496000044,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction",People drowning in the west: 11,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people in the west,"People drowning in 
the east: 5",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,558.1103595001623,None,,,,,,,544.1991351000033,None,,,,,,,,,,,,,,,,,,,,,560.1263962998055,None,,,,,,,,,,,,,,,n,1.84011340001598,554.236793000251,None,556.1085501001216,None,554.236793000251,None,554.236793000251,None,554.236793000251,None,554.236793000251,None,554.236793000251,None,554.236793000251,None,554.236793000251,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them",People drowning in the west: 10,"Probability of alternate 
rescue boat reaching them: 35%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,1,1,1,,,,,,,569.0862981001846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.1014533000998,None,,,,,,,,,,,,,,,n,0.9240100998431444,566.1289349999279,None,567.0846091001295,None,566.1289349999279,None,566.1289349999279,None,566.1289349999279,None,566.1289349999279,None,566.1289349999279,None,566.1289349999279,None,566.1289349999279,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people in the west,"People drowning in 
the east: 3",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,2,2,2,,,,,,,598.0604989002459,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0754857999273,None,,,,,,,,,,,,,,,n,18.922701500356197,577.1061753001995,None,596.0587622001767,None,577.1061753001995,None,577.1061753001995,None,577.1061753001995,None,577.1061753001995,None,577.1061753001995,None,577.1061753001995,None,577.1061753001995,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the only other rescue boat in the area is much further to the west, so it would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 65%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people in the west,"People drowning in 
the east: 2",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,3,3,3,,,,,,,614.0739500001073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.0887973001227,None,,,,,,,,,,,,,,,n,5.9708642000332475,606.0741114998236,None,612.0719230999239,None,606.0741114998236,None,606.0741114998236,None,606.0741114998236,None,606.0741114998236,None,606.0741114998236,None,606.0741114998236,None,606.0741114998236,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",People drowning in the west: 12,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,4,4,4,,,,,,,627.5679597998969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.5856690001674,None,,,,,,,,,,,,,,,n,3.4563504001125693,622.0926557001658,None,625.5664102002047,None,622.0926557001658,None,622.0926557001658,None,622.0926557001658,None,622.0926557001658,None,622.0926557001658,None,622.0926557001658,None,622.0926557001658,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately",Repairmen on main track: 6,Probability of evacuation: 35%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,50, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,633.5730531001464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.6090088998899,None,space,5.796281699556857,635.6090088998899,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• The boxcar is headed towards a tunneled section in which a group of repairmen are working

• You can flip the switch, redirecting the boxcar to a sidetrack on which there is a smaller group of repairman working",Repairmen on main track: 7,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmenon the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.4601986999623,None,space,0.5207285000942647,641.4601986999623,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the other repairman on the sidetrack will be hit by the boxcar and will die",Repairmen on main track: 5,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 5 repairmen on the track were saved.",5,65, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.0363548002206,None,space,0.21659049997106194,642.0363548002206,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the workmen on the sidetrack would evacuate in time",Repairmen on main track: 6,Probability of evacuation:  50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 4 repairmen on the sidetrack lived.

The ","The 4 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,65, repairmen on the main track,Repairmen on sidetrack: 4,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.3115818002261,None,space,0.3734752000309527,642.3115818002261,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Repairmen on main track: 7,Probability of evacuation: 50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.7258883002214,None,space,0.5035268003121018,642.7258883002214,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
