Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",Workers in Room A: 12,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 6 workers in Room B lived.

The ","The 6 workers in Room B died. 

The 12 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,251.3466556002386,None,,,,,,,253.34956700028852,None,,,,,,,,,,,,,,,,,247.36124170012772,None,,,,,,,,,,,,,,,n,4.76567169977352,238.54893140029162,None,243.3415538002737,None,238.54893140029162,None,238.54893140029162,None,238.54893140029162,None,238.54893140029162,None,238.54893140029162,None,238.54893140029162,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Hit the button to divert the gas to Room B, killing the workers there

OR

Do nothing: The workers in Room B will live, the group on Room A has a chance of escaping.",Workers in Room A: 5,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 5 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,268.5609048004262,None,,,,,,,270.56515060039237,None,,,,,,,,,,,,,,,,,264.57410980015993,None,,,,,,,,,,,,,,,y,2.167467299848795,258.3630866999738,None,260.5545660001226,None,258.3630866999738,None,258.3630866999738,None,258.3630866999738,None,258.3630866999738,None,258.3630866999738,None,258.3630866999738,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,273.5648382003419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.60167680028826,None,space,1.5532322996295989,275.60167680028826,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",People on bus: 9,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,People in the car: 6,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.20616680011153,None,space,0.2527298000641167,277.20616680011153,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",People on bus: 6,"Probability bus will 
drive to safety: 50%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.50825240043923,None,space,0.33474350022152066,277.50825240043923,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",People on bus: 10,"Probability bus will 
drive to safety: 65%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,People in the car: 7,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.89030410023406,None,space,2.67245850013569,277.89030410023406,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Move your crane to push the bus, certainly killing the people in the car

OR

Do nothing: The people in the car will live, the people in the bus have a chance of surviving",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 4,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.62281810026616,None,space,1.5399123998358846,280.62281810026616,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,311.3629673002288,None,,,,,,,313.36583400005475,None,,,,,,,,,,,,,,,,,307.37848940026015,None,,,,,,,,,,,,,,,y,14.125377700198442,289.2051224000752,None,303.3577734003775,None,289.2051224000752,None,289.2051224000752,None,289.2051224000752,None,289.2051224000752,None,289.2051224000752,None,289.2051224000752,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",People on bus: 9,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,People in the car: 6,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,351.5128611000255,None,,,,,,,353.51791570009664,None,,,,,,,,,,,,,,,,,347.52644340042025,None,,,,,,,,,,,,,,,n,25.118973600212485,318.37136490037665,None,343.5065914001316,None,318.37136490037665,None,318.37136490037665,None,318.37136490037665,None,318.37136490037665,None,318.37136490037665,None,318.37136490037665,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",People on bus: 6,"Probability bus will 
drive to safety: 50%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,378.6685670004226,None,,,,,,,380.6718630003743,None,,,,,,,,,,,,,,,,,374.6790066002868,None,,,,,,,,,,,,,,,n,12.086585700046271,358.5578653002158,None,370.66206840006635,None,358.5578653002158,None,358.5578653002158,None,358.5578653002158,None,358.5578653002158,None,358.5578653002158,None,358.5578653002158,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",People on bus: 10,"Probability bus will 
drive to safety: 65%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,People in the car: 7,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,407.15908620040864,None,,,,,,,409.1615430000238,None,,,,,,,,,,,,,,,,,403.1728305001743,None,,,,,,,,,,,,,,,y,13.436427200213075,385.6864559003152,None,399.1539424001239,None,385.6864559003152,None,385.6864559003152,None,385.6864559003152,None,385.6864559003152,None,385.6864559003152,None,385.6864559003152,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Move your crane to push the bus, certainly killing the people in the car

OR

Do nothing: The people in the car will live, the people in the bus have a chance of surviving",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 4,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,422.705415900331,None,,,,,,,424.70815460011363,None,,,,,,,,,,,,,,,,,418.7206970001571,None,,,,,,,,,,,,,,,n,0.5020729000680149,414.1724265003577,None,414.6998475003056,None,414.1724265003577,None,414.1724265003577,None,414.1724265003577,None,414.1724265003577,None,414.1724265003577,None,414.1724265003577,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction",People drowning in the west: 11,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people in the west,"People drowning in 
the east: 5",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,427.7096207002178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.74086140003055,None,space,8.197622099891305,429.74086140003055,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them",People drowning in the west: 10,"Probability of alternate 
rescue boat reaching them: 35%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.98695530043915,None,space,0.559667999856174,437.98695530043915,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people in the west,"People drowning in 
the east: 3",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.59291160013527,None,space,1.3455828996375203,438.59291160013527,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the only other rescue boat in the area is much further to the west, so it would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 65%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people in the west,"People drowning in 
the east: 2",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.9853076003492,None,space,0.8335792003199458,439.9853076003492,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Change your course to head towards the people in the west, leaving the people in the east to die

OR

Do nothing: The group in the east will live, the group in the west has a chance of surviving",People drowning in the west: 12,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.8699559001252,None,space,2.0924173002131283,440.8699559001252,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction",People drowning in the west: 11,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people in the west,"People drowning in 
the east: 5",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,458.7352660000324,None,,,,,,,460.73720750026405,None,,,,,,,,,,,,,,,,,454.7465976001695,None,,,,,,,,,,,,,,,n,0.6976228998973966,450.00905240001157,None,450.73007260030136,None,450.00905240001157,None,450.00905240001157,None,450.00905240001157,None,450.00905240001157,None,450.00905240001157,None,450.00905240001157,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them",People drowning in the west: 10,"Probability of alternate 
rescue boat reaching them: 35%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,1,1,1,,,,,,,488.20968240033835,None,,,,,,,490.2132936003618,None,,,,,,,,,,,,,,,,,484.22264330042526,None,,,,,,,,,,,,,,,n,14.42287790030241,465.755550800357,None,480.2048405003734,None,465.755550800357,None,465.755550800357,None,465.755550800357,None,465.755550800357,None,465.755550800357,None,465.755550800357,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people in the west,"People drowning in 
the east: 3",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,2,2,2,,,,,,,509.1768954000436,None,,,,,,,511.18027210002765,None,,,,,,,,,,,,,,,,,505.18753510015085,None,,,,,,,,,,,,,,,n,5.9079737002030015,495.23031950043514,None,501.17179140029475,None,495.23031950043514,None,495.23031950043514,None,495.23031950043514,None,495.23031950043514,None,495.23031950043514,None,495.23031950043514,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the only other rescue boat in the area is much further to the west, so it would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 65%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people in the west,"People drowning in 
the east: 2",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,3,3,3,,,,,,,531.1445495001972,None,,,,,,,533.1507744002156,None,,,,,,,,,,,,,,,,,527.1561410999857,None,,,,,,,,,,,,,,,n,6.932600900065154,516.1900078002363,None,523.1386682000011,None,516.1900078002363,None,516.1900078002363,None,516.1900078002363,None,516.1900078002363,None,516.1900078002363,None,516.1900078002363,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Change your course to head towards the people in the west, leaving the people in the east to die

OR

Do nothing: The group in the east will live, the group in the west has a chance of surviving",People drowning in the west: 12,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,4,4,4,,,,,,,547.2923511001281,None,,,,,,,549.2980752000585,None,,,,,,,,,,,,,,,,,543.3064695000648,None,,,,,,,,,,,,,,,n,1.1019187001511455,538.1659856000915,None,539.28558850009,None,538.1659856000915,None,538.1659856000915,None,538.1659856000915,None,538.1659856000915,None,538.1659856000915,None,538.1659856000915,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately",Repairmen on main track: 6,Probability of evacuation: 35%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,50, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,552.2975045000203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.3230845001526,None,space,2.415476500056684,554.3230845001526,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• The boxcar is headed towards a tunneled section in which a group of repairmen are working

• You can flip the switch, redirecting the boxcar to a sidetrack on which there is a smaller group of repairman working",Repairmen on main track: 7,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmenon the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.7838465003297,None,space,0.7708836002275348,556.7838465003297,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the other repairman on the sidetrack will be hit by the boxcar and will die",Repairmen on main track: 5,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 5 repairmen on the track were saved.",5,65, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.6066600000486,None,space,3.5959109999239445,557.6066600000486,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the workmen on the sidetrack would evacuate in time",Repairmen on main track: 6,Probability of evacuation:  50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 4 repairmen on the sidetrack lived.

The ","The 4 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,65, repairmen on the main track,Repairmen on sidetrack: 4,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.2462962004356,None,space,1.5083424001932144,561.2462962004356,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

OR

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating",Repairmen on main track: 7,Probability of evacuation: 50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.8089617001824,None,space,12.185646200086921,562.8089617001824,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
