Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• You are also aware that there is a chance that the workers in Room A will escape before the gas reaches them

• This would be impossible for the workers in Room B",Workers in Room A: 12,Probability of escape: 50%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 6 workers in Room B lived.

The ","The 6 workers in Room B died. 

The 12 workers in Room A were saved.",12,50, workers in Room A,Workers in Room B: 6,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,219.39729740004987,None,,,,,,,203.65263190004043,None,,,,,,,,,,,,,,,,,215.40996760013513,None,,,,,,,,,,,,,,,n,2.6990471999160945,208.66602870007046,None,211.39123259996995,None,208.66602870007046,None,208.66602870007046,None,208.66602870007046,None,208.66602870007046,None,208.66602870007046,None,208.66602870007046,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Hit the button to divert the gas to Room B, killing the workers there

OR

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping.",Workers in Room A: 5,Probability of escape: 65%,"Plan: Hit the button to divert the gas to Room B, killing the workers there

Do nothing: The workers in Room B will live, the workers in Room A have a chance of escaping","The 4 workers in Room B lived.

The ","The 4 workers in Room B died. 

The 5 workers in Room A were saved.",5,65, workers in Room A,Workers in Room B: 4,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,4,4,4,,,,,,,236.27859150012955,None,,,,,,,221.3996970001608,None,,,,,,,,,,,,,,,,,232.28959359996952,None,,,,,,,,,,,,,,,n,1.8316326001659036,226.413237700006,None,228.27115559997037,None,226.413237700006,None,226.413237700006,None,226.413237700006,None,226.413237700006,None,226.413237700006,None,226.413237700006,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,005:0010,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,238.28021950018592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.31261630007066,None,space,1.3882013000547886,240.31261630007066,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",People on bus: 9,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,People in the car: 6,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.73554560006596,None,space,0.38138749985955656,241.73554560006596,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",People on bus: 6,"Probability bus will 
drive to safety: 50%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.15267820004374,None,space,0.3644971000030637,242.15267820004374,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",People on bus: 10,"Probability bus will 
drive to safety: 65%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,People in the car: 7,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.55259310011752,None,space,0.3644796998705715,242.55259310011752,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Move your crane to push the bus, certainly killing the people in the car

OR

Do nothing: The people in the car will live, the people in the bus have a chance of surviving",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 4,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.96443510008976,None,space,0.6565668000839651,242.96443510008976,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You are operating a crane in front of a tall bridge when an earthquake hits

• As a result of the earthquake, a gap has formed in the bridge, and a bus carrying a number of people is now partially hanging off of this gap in the bridge
",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,,,,,259.1307288999669,None,,,,,,,245.6643453000579,None,,,,,,,,,,,,,,,,,255.14333170000464,None,,,,,,,,,,,,,,,n,0.4231597001198679,250.66958680003881,None,251.1238722000271,None,250.66958680003881,None,250.66958680003881,None,250.66958680003881,None,250.66958680003881,None,250.66958680003881,None,250.66958680003881,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• If nothing is done, the bus will soon plummet and all of these people will be killed

• You know that you can move your crane in a way to push the bus back onto the bridge, avoiding  the deaths of all the people on board",People on bus: 9,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 6 people in the car lived.

The ","The 6 people in the car died. 

The 9 people on the bus were saved.",9,65, people on the bus,People in the car: 6,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,1,1,1,,,,,,,275.72785990010016,None,,,,,,,261.133631200064,None,,,,,,,,,,,,,,,,,271.7404820001684,None,,,,,,,,,,,,,,,n,1.561952100135386,266.13880560011603,None,267.72087900014594,None,266.13880560011603,None,266.13880560011603,None,266.13880560011603,None,266.13880560011603,None,266.13880560011603,None,266.13880560011603,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• However, you are also aware that in its current position your crane is supporting one small part of the bridge on which there is currently a single car

• If you move the crane, this part will certainly collapse and the people in that car will be killed",People on bus: 6,"Probability bus will 
drive to safety: 50%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 2 people in the car lived.

The ","The 2 people in the car died. 

The 6 people on the bus were saved.",6,35, people on the bus,People in the car: 2,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,2,2,2,,,,,,,291.9244916001335,None,,,,,,,277.7318274001591,None,,,,,,,,,,,,,,,,,287.9333508000709,None,,,,,,,,,,,,,,,n,1.1518329998943955,282.7410103001166,None,283.9175675001461,None,282.7410103001166,None,282.7410103001166,None,282.7410103001166,None,282.7410103001166,None,282.7410103001166,None,282.7410103001166,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You also know that there is a chance the bus will be able to drive back onto the bridge, preventing the deaths of everyone on board
 
• There is no chance that the car will be able to avoid falling if you move your crane ",People on bus: 10,"Probability bus will 
drive to safety: 65%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 7 people in the car lived.

The ","The 7 people in the car died. 

The 10 people on the bus were saved.",10,65, people on the bus,People in the car: 7,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,3,3,3,,,,,,,309.02185200015083,None,,,,,,,293.92743420018815,None,,,,,,,,,,,,,,,,,305.0321460000705,None,,,,,,,,,,,,,,,n,2.0581596998963505,298.93918680003844,None,301.0153120001778,None,298.93918680003844,None,298.93918680003844,None,298.93918680003844,None,298.93918680003844,None,298.93918680003844,None,298.93918680003844,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Move your crane to push the bus, certainly killing the people in the car

OR

Do nothing: The people in the car will live, the people in the bus have a chance of surviving",People on bus: 7,"Probability bus will 
drive to safety: 35%","Plan: Move your crane to push the bus, certainly killing the people in the car

Do nothing: The people in the car will live, the people in the bus have a chance of surviving","The 4 people in the car lived.

The ","The 4 people in the car died. 

The 7 people on the bus were saved.",7,50, people on the bus,People in the car: 4,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,0,4,4,4,,,,,,,326.7532052001916,None,,,,,,,311.02452950016595,None,,,,,,,,,,,,,,,,,322.7641599001363,None,,,,,,,,,,,,,,,n,2.6888623000122607,316.0357610001229,None,318.74654660001397,None,316.0357610001229,None,316.0357610001229,None,316.0357610001229,None,316.0357610001229,None,316.0357610001229,None,316.0357610001229,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,0010:015,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction",People drowning in the west: 11,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people in the west,"People drowning in 
the east: 5",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,328.75486240000464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.78518750006333,None,space,3.3797712998930365,330.78518750006333,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them",People drowning in the west: 10,"Probability of alternate 
rescue boat reaching them: 35%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.21259720018134,None,space,0.5600499000865966,334.21259720018134,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people in the west,"People drowning in 
the east: 3",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.8172104000114,None,space,0.40337559999898076,334.8172104000114,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the only other rescue boat in the area is much further to the west, so it would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 65%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people in the west,"People drowning in 
the east: 2",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.2611864001956,None,space,0.37588100018911064,335.2611864001956,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Change your course to head towards the people in the west, leaving the people in the east to die

OR

Do nothing: The group in the east will live, the group in the west has a chance of surviving",People drowning in the west: 12,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.7004837000277,None,space,0.5449051999021322,335.7004837000277,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You are driving a rescue boat in the ocean, heading east towards a group of drowning people

• You receive a distress signal informing you that a small boat has capsized in the opposite direction",People drowning in the west: 11,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 5 people in the east lived.

The ","The 5 people in the east died.

The 11 people in the west were saved.",11,50, people in the west,"People drowning in 
the east: 5",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,0,0,0,,,,,,,353.6921960001346,None,,,,,,,338.2744011001196,None,,,,,,,,,,,,,,,,,349.70434510009363,None,,,,,,,,,,,,,,,n,2.387056600069627,343.2817031000741,None,345.6856545000337,None,343.2817031000741,None,343.2817031000741,None,343.2817031000741,None,343.2817031000741,None,343.2817031000741,None,343.2817031000741,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• All of the people aboard the capsized boat are now drowning

• You know that if you immediately change course and go full speed, bearing west, you will reach these people in time to save them",People drowning in the west: 10,"Probability of alternate 
rescue boat reaching them: 35%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 10 people in the west were saved.",10,65, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,1,1,1,,,,,,,369.93963999999687,None,,,,,,,355.6954857001547,None,,,,,,,,,,,,,,,,,365.9510617000051,None,,,,,,,,,,,,,,,n,1.1972988999914378,360.7117269001901,None,361.9324519999791,None,360.7117269001901,None,360.7117269001901,None,360.7117269001901,None,360.7117269001901,None,360.7117269001901,None,360.7117269001901,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• However, if you do this, the people drowning in the east will certainly die

• If you do nothing and hold your course, the people in the east will be saved, but you will not reach the people to the west in time to save them",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 3 people in the east lived.

The ","The 3 people in the east died.

The 8 people in the west were saved.",8,50, people in the west,"People drowning in 
the east: 3",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,2,2,2,,,,,,,391.5901490000542,None,,,,,,,371.9425641000271,None,,,,,,,,,,,,,,,,,387.6022338999901,None,,,,,,,,,,,,,,,n,6.595812499988824,376.96084760013036,None,383.58362900000066,None,376.96084760013036,None,376.96084760013036,None,376.96084760013036,None,376.96084760013036,None,376.96084760013036,None,376.96084760013036,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You also know that the only other rescue boat in the area is much further to the west, so it would be unable to reach the people in the east

• But there is a chance the rescue boat will reach the group drowning to the west",People drowning in the west: 8,"Probability of alternate 
rescue boat reaching them: 65%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 2 people in the east lived.

The ","The 2 people in the east died.

The 8 people in the west were saved.",8,35, people in the west,"People drowning in 
the east: 2",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,3,3,3,,,,,,,407.90392370009795,None,,,,,,,393.59418820007704,None,,,,,,,,,,,,,,,,,403.9156597000547,None,,,,,,,,,,,,,,,y,1.2734304000623524,398.6033118001651,None,399.89729490014724,None,398.6033118001651,None,398.6033118001651,None,398.6033118001651,None,398.6033118001651,None,398.6033118001651,None,398.6033118001651,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Change your course to head towards the people in the west, leaving the people in the east to die

OR

Do nothing: The group in the east will live, the group in the west has a chance of surviving",People drowning in the west: 12,"Probability of alternate 
rescue boat reaching them: 50%","Plan: Change your course to head towards the people in the west, leaving the people in the east to die

Do nothing: The group in the east will live, the group in the west has a chance of surviving","The 6 people in the east lived.

The ","The 6 people in the east died.

The 12 people in the west were saved.",12,50, people in the west,"People drowning in 
the east: 6",015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,0,4,4,4,,,,,,,425.30157180014066,None,,,,,,,409.90732670016587,None,,,,,,,,,,,,,,,,,421.31264380016364,None,,,,,,,,,,,,,,,n,2.343770300038159,414.924965800019,None,417.29511920013465,None,414.924965800019,None,414.924965800019,None,414.924965800019,None,414.924965800019,None,414.924965800019,None,414.924965800019,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,015:020,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You are operating the switch at a railroad station when you see an empty, out of control boxcar coming down the main track

• It is moving so fast that anyone it hits will die immediately",Repairmen on main track: 6,Probability of evacuation: 35%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,50, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,427.30294229998253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.3306962000206,None,space,1.6339873999822885,429.3306962000206,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• The boxcar is headed towards a tunneled section in which a group of repairmen are working

• You can flip the switch, redirecting the boxcar to a sidetrack on which there is a smaller group of repairman working",Repairmen on main track: 7,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 3 repairmen on the sidetrack lived.

The ","The 3 repairmenon the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 3,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.00846330006607,None,space,0.32415189989842474,431.00846330006607,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• If you do nothing, the boxcar will continue toward the repairmen in the tunnel on the main track and kill them all

• If you hit the switch, the repairmen on the main track will be spared but the other repairman on the sidetrack will be hit by the boxcar and will die",Repairmen on main track: 5,Probability of evacuation: 65%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 5 repairmen on the track were saved.",5,65, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.37881540018134,None,space,0.2101674999576062,431.37881540018134,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• You know that there is a chance an alarm on the main track will be triggered in time to alert the repairmen to evacuate before the boxcar arrives

• There is no such alarm on the sidetrack, and therefore no chance the workmen on the sidetrack would evacuate in time",Repairmen on main track: 6,Probability of evacuation:  50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 4 repairmen on the sidetrack lived.

The ","The 4 repairmen on the sidetrack died.

The 6 repairmen on the track were saved.",6,65, repairmen on the main track,Repairmen on sidetrack: 4,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.6323792000767,None,space,0.19624050008133054,431.6323792000767,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

OR

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating",Repairmen on main track: 7,Probability of evacuation: 50%,"Plan: Hit the switch, redirecting the boxcar onto the sidetrack, killing the repairmen there

Do nothing: The repairmen on the sidetrack will live, the repairmen on the main track have a chance of evacuating","The 2 repairmen on the sidetrack lived.

The ","The 2 repairmen on the sidetrack died.

The 7 repairmen on the track were saved.",7,35, repairmen on the main track,Repairmen on sidetrack: 2,020:025,,,,,,,,,,,,,,,,,0,3,3,3,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.89035760005936,None,space,0.1626993000973016,431.89035760005936,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
